model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL,metric,topK
Delay-MF,10,0.0,0.1,0.0,100,none,0.0,128,20,,"[0.7329, 0.0]","[-0.559, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Bridge-Var2-MF,10,0.0,1e-05,0.1,100,none,0.0,128,0,,"[0.7352, 0.0]","[-0.5532, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Bridge-Var1-MF,10,0.0,0.1,0.1,100,none,0.0,128,0,,"[0.7333, 0.0]","[-0.5713, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
MF,10,0.0,0.1,0.0,200,none,0.0,32,0,unif,"[0.5692, 0.0]","[-0.5099, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
CausE-MF,10,0.0,0.1,0.1,100,none,0.0,128,0,,"[0.7275, 0.0]","[-0.587, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-Bridge-MF,10,0.0,0.1,0.1,100,none,0.0,128,0,,"[0.7303, 0.0]","[-0.5734, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-Refine-MF,10,0.0,0.1,0.0,100,none,1.0,128,0,,"[0.7384, 0.0]","[-0.6602, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
WeightC-MF,10,0.0,0.1,0.0,100,global,0.3,128,0,,"[0.7315, 0.0]","[-0.5685, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
FeatureE-MF,10,0.0,0.1,0.0,100,alter,0.0,128,5,,"[0.7319, 0.0]","[-0.5718, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
IPS-MF,10,0.0,0.01,0.0,100,none,0.0,512,0,,"[0.7218, 0.0]","[-0.4511, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-WeightC-MF,10,0.0,0.1,0.0,100,none,0.0,128,0,,"[0.7324, 0.0]","[-0.55, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
MF,10,0.0,0.1,0.0,100,none,0.0,128,0,combine,"[0.7295, 0.0]","[-0.5814, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
WeightC-MF,10,0.0,1e-05,0.0,100,local,0.0,512,0,,"[0.7331, 0.0]","[-0.567, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
MF,10,0.0,0.1,0.0,100,none,0.0,128,0,,"[0.7275, 0.0]","[-0.589, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
FeatureE-MF,10,0.0,0.1,0.0,100,concat,0.0,128,0,,"[0.7299, 0.0]","[-0.5804, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Refine-MF,10,0.9,0.1,0.0,100,random,1.0,128,0,,"[0.7426, 0.0]","[-0.6583, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
